lag_error,ahead_error,error_sum,overshoot_error,current_sum,curr_vel
-0.047745301,0.03420849,0.081953792,0.002827108,26.99969484,4.274038055
-0.030491008,0.021085515,0.051576524,-6.82e-05,24.96892385,3.859347151
-0.030796362,0.034477188,0.06527355,-0.009049952,34.61722821,5.098144717
-0.040585338,0.042940556,0.083525894,-0.011817515,45.04163592,6.801493731
-0.051081478,0.062395513,0.113476991,-0.016343653,68.62292477,11.56110887
-0.047393932,0.023719564,0.071113496,-0.000272334,27.80609605,4.708785656
-0.035412146,0.024284317,0.059696463,-0.003724635,36.41393007,5.764306814
-0.030838324,0.032173111,0.063011435,-0.005769312,41.10666937,6.49148516
-0.030868841,0.033687546,0.064556387,-0.007327616,39.39728361,5.976713117
-0.027420355,0.032119705,0.05954006,-0.007596552,38.2754644,6.286768133
-0.041924073,0.021337703,0.063261776,0.002079427,26.20017186,4.021204302
-0.023398189,0.023180394,0.046578583,-0.002231181,39.37906319,7.796815249
-0.022182775,0.020044281,0.042227056,-0.003234446,31.47650804,4.888256294
-0.024774862,0.02679248,0.051567343,-0.005107462,33.21209818,5.207147785
-0.02379067,0.029584839,0.053375509,-0.006532252,37.43818809,6.275060727
